Quarter,Time,Down,ToGo,Location,Away,Home,Detail,EPB,EPA,field_side,yardline,play_start_time,Play_Type,posession,Yardage,away,home,possession,game_id
3,1:31,2,6,BUF 19,,,Josh Allen pass incomplete deep right,-0.110,-0.880,BUF,19.0,43.48333333333331,Pass,,0.0,13,6,BUF,1.0
3,1:22,3,6,BUF 19,,,Josh Allen pass complete short right to James Cook for 4 yards (tackle by Quincy Williams),-0.880,-1.830,BUF,19.0,43.63333333333331,Pass,,4.0,13,6,BUF,1.0
3,0:42,4,2,BUF 23,,,"Sam Martin punts 53 yards, returned by Xavier Gipson for 1 yard (tackle by Siran Neal)",-1.830,-0.610,BUF,23.0,44.299999999999976,Special Teams,,0.0,13,6,BUF,1.0
3,0:20,2,10,NYJ 25,,,Breece Hall left end for 7 yards (tackle by Taylor Rapp),0.060,0.300,NYJ,25.0,44.66666666666664,Run,,7.0,13,6,NYJ,1.0
4,15:00,3,3,NYJ 32,,,Zach Wilson sacked by and Leonard Floyd for -1 yards and Ed Oliver for -1 yards,0.300,-1.310,NYJ,32.0,44.99999999999998,Run,,-1.0,13,6,NYJ,1.0
4,14:19,4,4,NYJ 31,,,"Thomas Morstead punts 54 yards, fair catch by Deonte Harty at BUF-15",-1.310,0.220,NYJ,31.0,45.68333333333331,Special Teams,,0.0,13,6,NYJ,1.0
4,13:39,2,4,BUF 21,,,James Cook up the middle for 4 yards (tackle by Tony Adams and Jermaine Johnson),0.210,0.610,BUF,21.0,46.34999999999997,Run,,4.0,13,6,BUF,1.0
4,13:11,1,10,BUF 25,,,Josh Allen sacked by Jermaine Johnson for -2 yards,0.610,-0.210,BUF,25.0,46.81666666666664,Run,,-2.0,13,6,BUF,1.0
4,12:30,2,12,BUF 23,,,Josh Allen pass complete short right to Damien Harris for 3 yards (tackle by Sauce Gardner),-0.210,-0.490,BUF,23.0,47.49999999999997,Pass,,3.0,13,6,BUF,1.0
4,11:44,3,9,BUF 26,,,Josh Allen pass complete short right to Latavius Murray for 9 yards (tackle by Jermaine Johnson),-0.490,1.270,BUF,26.0,48.26666666666664,Pass,,9.0,13,6,BUF,1.0
4,11:12,1,10,BUF 35,,,Latavius Murray up the middle for 6 yards (tackle by Solomon Thomas),1.270,1.530,BUF,35.0,48.79999999999997,Run,,6.0,13,6,BUF,1.0
4,10:30,2,4,BUF 41,,,Latavius Murray left guard for 2 yards (tackle by Quincy Williams),1.530,1.090,BUF,41.0,49.49999999999997,Run,,2.0,13,6,BUF,1.0
4,9:49,3,2,BUF 43,,,Josh Allen pass short right intended for Gabriel Davis is intercepted by Jordan Whitehead at NYJ-43 and returned for no gain,1.090,-1.800,BUF,43.0,50.18333333333331,Pass,,5.0,13,6,BUF,1.0
4,9:00,2,5,NYJ 48,,,Dalvin Cook up the middle for no gain (tackle by DaQuan Jones),1.930,1.220,NYJ,48.0,50.99999999999997,Run,,0.0,13,6,NYJ,1.0
4,8:19,3,5,NYJ 48,,,Zach Wilson pass complete short left to Allen Lazard for 24 yards (tackle by Matt Milano and Terrel Bernard),1.220,3.710,NYJ,48.0,51.68333333333331,Pass,,24.0,13,6,NYJ,1.0
4,7:38,1,10,BUF 28,,,Breece Hall up the middle for 4 yards (tackle by Jordan Phillips),3.710,3.710,BUF,28.0,52.366666666666646,Run,,4.0,13,6,NYJ,1.0
4,6:58,2,6,BUF 24,,,Breece Hall up the middle for 1 yard (tackle by Tim Settle),3.710,3.140,BUF,24.0,53.03333333333331,Run,,1.0,13,6,NYJ,1.0
4,6:22,3,5,BUF 23,,,Zach Wilson pass complete short right to Garrett Wilson for 14 yards (tackle by Christian Benford),3.140,5.140,BUF,23.0,53.63333333333331,Pass,,14.0,13,6,NYJ,1.0
4,5:46,1,9,BUF 9,,,Zach Wilson scrambles left end for 6 yards (tackle by Terrel Bernard),5.140,5.530,BUF,9.0,54.23333333333331,Pass,,-6.0,13,6,NYJ,1.0
4,4:55,,,BUF 15,,,"Penalty on NYJ: Delay of Game, 5 yards (accepted) (no play)",0.000,0.000,BUF,15.0,55.083333333333314,Run,,-10.0,13,12,NYJ,1.0
4,4:55,1,10,BUF 25,,,"Josh Allen aborted snap, recovered by Josh Allen at BUF-25 Josh Allen for no gain. Josh Allen fumbles (forced by Micheal Clemons), recovered by Quinnen Williams at BUF-27",0.610,-3.780,BUF,25.0,55.083333333333314,Run,,4.0,13,13,NYJ,1.0
4,4:06,2,4,BUF 21,,,Breece Hall right guard for 3 yards (tackle by Ed Oliver and Taylor Rapp),4.040,3.840,BUF,21.0,55.899999999999984,Run,,3.0,13,13,NYJ,1.0
4,3:20,3,1,BUF 18,,,Dalvin Cook up the middle for no gain (tackle by Shaq Lawson and Tre'Davious White),3.840,2.400,BUF,18.0,56.66666666666665,Run,,0.0,13,13,NYJ,1.0
4,2:50,4,1,BUF 18,,,Zach Wilson up the middle for 2 yards (tackle by Shaq Lawson and Terrel Bernard),2.400,4.510,BUF,18.0,57.16666666666665,Run,,2.0,13,13,NYJ,1.0
4,2:06,1,10,BUF 16,,,Dalvin Cook right end for -3 yards (tackle by Ed Oliver and Matt Milano),4.510,3.520,BUF,16.0,57.899999999999984,Run,,-3.0,13,13,NYJ,1.0
4,2:00,2,13,BUF 19,,,Dalvin Cook up the middle for 1 yard (tackle by Terrel Bernard),3.520,2.940,BUF,19.0,57.999999999999986,Run,,1.0,13,13,NYJ,1.0
4,1:56,3,12,BUF 18,,,Michael Carter right tackle for 6 yards (tackle by Matt Milano and Terrel Bernard),2.940,2.660,BUF,18.0,58.066666666666656,Run,,-7.0,13,13,NYJ,1.0
4,1:48,1,10,BUF 25,,,Josh Allen scrambles left end for 7 yards (tackle by Bryce Huff and C.J. Mosley),0.610,1.010,BUF,25.0,58.19999999999999,Pass,,7.0,13,16,NYJ,1.0
4,1:21,2,3,BUF 32,,,Josh Allen pass complete short left to Gabriel Davis for 6 yards (tackle by D.J. Reed),1.010,1.470,BUF,32.0,58.64999999999999,Pass,,6.0,13,16,BUF,1.0
4,1:00,1,10,BUF 38,,,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Michael Carter),1.470,2.460,BUF,38.0,58.99999999999999,Pass,,15.0,13,16,BUF,1.0
4,0:39,1,10,NYJ 47,,,"Josh Allen pass complete short right to Stefon Diggs for no gain. Penalty on Stefon Diggs: Offensive Pass Interference, 10 yards (accepted) (no play)",2.460,1.800,NYJ,47.0,59.349999999999994,Pass,,-10.0,13,16,BUF,1.0
4,0:35,1,20,BUF 43,,,Josh Allen pass complete short left to Stefon Diggs for 15 yards (tackle by D.J. Reed),1.800,2.590,BUF,43.0,59.416666666666664,Pass,,15.0,13,16,BUF,1.0
4,0:29,2,5,NYJ 42,,,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by D.J. Reed),2.590,3.450,NYJ,42.0,59.516666666666666,Pass,,10.0,13,16,BUF,1.0
4,0:17,1,10,NYJ 32,,,Josh Allen spiked the ball,3.450,2.900,NYJ,32.0,59.71666666666667,Run,,0.0,13,16,BUF,1.0
4,0:16,2,10,NYJ 32,,,Josh Allen pass incomplete deep left intended for Gabriel Davis,2.900,2.210,NYJ,32.0,59.733333333333334,Pass,,0.0,13,16,BUF,1.0
4,0:10,3,10,NYJ 32,,,Josh Allen pass incomplete short left intended for Latavius Murray,2.210,1.240,NYJ,32.0,59.833333333333336,Pass,,7.0,13,16,BUF,1.0
4,0:02,1,10,NYJ 25,,,Zach Wilson kneels for -1 yards,0.610,0.000,NYJ,25.0,59.96666666666667,Run,,0.0,16,16,BUF,1.0
5,10:00,1,10,BUF 25,,,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",0.610,0.280,BUF,25.0,65.0,Run,,5.0,16,16,NYJ,1.0
5,10:00,1,15,BUF 20,,,Josh Allen pass incomplete short right intended for Dawson Knox,0.280,-0.610,BUF,20.0,65.0,Pass,,0.0,16,16,NYJ,1.0
5,9:57,2,15,BUF 20,,,James Cook up the middle for 3 yards (tackle by John Franklin-Myers and Quinnen Williams),-0.610,-0.890,BUF,20.0,65.05,Run,,3.0,16,16,BUF,1.0
5,9:26,3,12,BUF 23,,,Josh Allen pass incomplete short left intended for Stefon Diggs,-0.890,-1.830,BUF,23.0,65.56666666666666,Pass,,,16,16,BUF,1.0
1,15:00,,,ARI 35,,,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610,ARI,35.0,0.0,Special Teams,,0.0,0,0,WAS,2.0
1,15:00,1,10,WAS 25,,,Brian Robinson right tackle for 3 yards (tackle by Jonathan Ledbetter),0.610,0.470,WAS,25.0,0.0,Run,,3.0,0,0,WAS,2.0
1,14:30,2,7,WAS 28,,,Sam Howell pass complete short right to Jahan Dotson for 6 yards (tackle by Kei'Trel Clark and Josh Woods),0.470,0.560,WAS,28.0,0.5,Pass,,6.0,0,0,WAS,2.0
1,13:55,3,1,WAS 34,,,Chris Rodriguez left guard for 2 yards (tackle by Cameron Thomas and Zaven Collins),0.560,1.330,WAS,34.0,1.083333333333334,Run,,2.0,0,0,WAS,2.0
1,13:17,1,10,WAS 36,,,Sam Howell pass incomplete short middle intended for Logan Thomas,1.330,0.790,WAS,36.0,1.7166666666666668,Pass,,0.0,0,0,WAS,2.0
1,13:12,2,10,WAS 36,,,Sam Howell pass complete short middle to Jahan Dotson for 12 yards (tackle by Kei'Trel Clark),0.790,2.130,WAS,36.0,1.8000000000000007,Pass,,12.0,0,0,WAS,2.0
1,12:35,1,10,WAS 48,,,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Jalen Thompson),2.130,1.720,WAS,48.0,2.416666666666666,Pass,,1.0,0,0,WAS,2.0
1,11:57,2,9,WAS 49,,,Sam Howell pass incomplete short left intended for Logan Thomas (defended by K'Von Wallace),1.720,1.020,WAS,49.0,3.0500000000000007,Pass,,0.0,0,0,WAS,2.0
1,11:51,3,9,WAS 49,,,Sam Howell pass complete short right to Curtis Samuel for 2 yards (tackle by K'Von Wallace),1.020,0.000,WAS,49.0,3.1500000000000004,Pass,,2.0,0,0,WAS,2.0
1,11:08,4,7,ARI 49,,,"Tress Way punts 42 yards downed by Jartavius Martin. Penalty on Christian Holmes: Offensive Illegal Block Above the Waist, 10 yards (accepted) ",0.000,0.060,ARI,49.0,3.866666666666667,Special Teams,,0.0,0,0,WAS,2.0
1,10:27,2,11,ARI 16,,,James Conner left guard for 6 yards (tackle by Benjamin St-Juste),-0.730,-0.620,ARI,16.0,4.550000000000001,Run,,6.0,0,0,ARI,2.0
1,9:51,3,5,ARI 22,,,Joshua Dobbs pass complete short middle to Zach Ertz for 6 yards (tackle by Kamren Curl),-0.620,0.810,ARI,22.0,5.15,Pass,,6.0,0,0,ARI,2.0
